attacking_type_id,defending_type_id,multiplier
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,0.5
1,7,1
1,8,0
1,9,0.5
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
2,1,2
2,2,1
2,3,0.5
2,4,0.5
2,5,1
2,6,2
2,7,0.5
2,8,0
2,9,2
2,10,1
2,11,1
2,12,1
2,13,1
2,14,0.5
2,15,2
2,16,1
2,17,2
2,18,0.5
3,1,1
3,2,2
3,3,1
3,4,1
3,5,1
3,6,0.5
3,7,2
3,8,1
3,9,0.5
3,10,1
3,11,1
3,12,2
3,13,0.5
3,14,1
3,15,1
3,16,1
3,17,1
3,18,1
4,1,1
4,2,1
4,3,1
4,4,0.5
4,5,0.5
4,6,0.5
4,7,1
4,8,0.5
4,9,0
4,10,1
4,11,1
4,12,2
4,13,1
4,14,1
4,15,1
4,16,1
4,17,1
4,18,2
5,1,1
5,2,1
5,3,0
5,4,2
5,5,1
5,6,2
5,7,0.5
5,8,1
5,9,2
5,10,2
5,11,1
5,12,0.5
5,13,2
5,14,1
5,15,1
5,16,1
5,17,1
5,18,1
6,1,1
6,2,0.5
6,3,2
6,4,1
6,5,0.5
6,6,1
6,7,2
6,8,1
6,9,0.5
6,10,2
6,11,1
6,12,1
6,13,1
6,14,1
6,15,2
6,16,1
6,17,1
6,18,1
7,1,1
7,2,0.5
7,3,0.5
7,4,0.5
7,5,1
7,6,1
7,7,1
7,8,0.5
7,9,0.5
7,10,0.5
7,11,1
7,12,2
7,13,1
7,14,2
7,15,1
7,16,1
7,17,2
7,18,0.5
8,1,0
8,2,1
8,3,1
8,4,1
8,5,1
8,6,0.5
8,7,1
8,8,2
8,9,1
8,10,1
8,11,1
8,12,1
8,13,1
8,14,2
8,15,1
8,16,1
8,17,0.5
8,18,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
9,6,2
9,7,1
9,8,1
9,9,0.5
9,10,0.5
9,11,0.5
9,12,1
9,13,0.5
9,14,1
9,15,2
9,16,1
9,17,1
9,18,2
