id,bulk,growth_time,internal_name,max_harvest,name,natural_gift_power,smoothness,soil_dryness,berry_firmness_id,natural_gift_type_id
1,20,3,cheri,5,樱子果,60,25,15,2,10
2,80,3,chesto,5,零余果,60,25,15,5,11
3,40,3,pecha,5,桃桃果,60,25,15,1,13
4,32,3,rawst,5,莓莓果,60,25,15,3,12
5,50,3,aspear,5,利木果,60,25,15,5,15
6,28,4,leppa,5,苹野果,60,20,15,4,2
7,35,4,oran,5,橙橙果,60,20,15,5,4
8,47,4,persim,5,柿仔果,60,20,15,3,5
9,34,12,lum,5,木子果,60,20,8,5,3
10,95,8,sitrus,5,文柚果,60,20,7,4,14
11,100,5,figy,5,勿花果,60,25,10,2,7
12,115,5,wiki,5,异奇果,60,25,10,3,6
13,126,5,mago,5,芒芒果,60,25,10,3,8
14,64,5,aguav,5,乐芭果,60,25,10,5,16
15,223,5,iapapa,5,芭亚果,60,25,10,2,17
16,120,2,razz,10,蔓莓果,60,20,35,4,9
17,108,2,bluk,10,墨莓果,70,20,35,2,10
18,77,2,nanab,10,蕉香果,70,20,35,4,11
19,74,2,wepear,10,西梨果,70,20,35,5,13
20,80,2,pinap,10,凰梨果,70,20,35,3,12
21,135,8,pomeg,5,榴石果,70,20,8,4,15
22,150,8,kelpsy,5,藻根果,70,20,8,3,2
23,110,8,qualot,5,比巴果,70,20,8,3,4
24,162,8,hondew,5,哈密果,70,20,8,3,5
25,149,8,grepa,5,萄葡果,70,20,8,2,3
26,200,8,tamato,5,茄番果,70,30,8,2,14
27,75,6,cornn,10,玉黍果,70,30,10,3,7
28,140,6,magost,10,岳竹果,70,30,10,3,6
29,226,6,rabuta,10,茸丹果,70,30,10,2,8
30,285,6,nomel,10,檬柠果,70,30,10,5,16
31,133,15,spelon,15,刺角果,70,35,8,2,17
32,244,15,pamtre,15,椰木果,70,35,8,1,9
33,250,15,watmel,15,瓜西果,80,35,8,2,10
34,280,15,durin,15,金枕果,80,35,8,3,11
35,300,15,belue,15,靛莓果,80,35,8,1,13
36,90,18,occa,5,巧可果,60,30,6,5,10
37,33,18,passho,5,千香果,60,30,6,2,11
38,250,18,wacan,5,烛木果,60,30,6,1,13
39,156,18,rindo,5,罗子果,60,30,6,2,12
40,135,18,yache,5,番荔果,60,30,6,4,15
41,77,18,chople,5,莲蒲果,60,30,6,2,2
42,90,18,kebia,5,通通果,60,30,6,3,4
43,42,18,shuca,5,腰木果,60,30,6,2,5
44,278,18,coba,5,棱瓜果,60,30,6,4,3
45,252,18,payapa,5,福禄果,60,30,6,2,14
46,42,18,tanga,5,扁樱果,60,35,6,1,7
47,28,18,charti,5,草蚕果,60,35,6,1,6
48,144,18,kasib,5,佛柑果,60,35,6,3,8
49,23,18,haban,5,莓榴果,60,35,6,2,16
50,39,18,colbur,5,刺耳果,60,35,6,5,17
51,265,18,babiri,5,霹霹果,60,35,6,5,9
52,34,18,chilan,5,灯浆果,60,35,6,1,1
53,111,24,liechi,5,枝荔果,80,40,4,4,12
54,33,24,ganlon,5,龙睛果,80,40,4,4,15
55,95,24,salac,5,沙鳞果,80,40,4,4,2
56,237,24,petaya,5,龙火果,80,40,4,4,4
57,75,24,apicot,5,杏仔果,80,40,4,3,5
58,97,24,lansat,5,兰萨果,80,50,4,2,3
59,153,24,starf,5,星桃果,80,50,4,5,14
60,155,24,enigma,5,谜芝果,80,60,7,3,7
61,41,24,micle,5,奇秘果,80,60,7,2,6
62,267,24,custap,5,释陀果,80,60,7,5,8
63,33,24,jaboca,5,嘉珍果,80,60,7,2,16
64,52,24,rowap,5,雾莲果,80,60,7,1,17
