id,advanced_contest_effect_id,skill_id
1,1,97
2,1,98
3,1,100
4,1,104
5,1,178
6,1,183
7,1,245
8,1,366
9,1,382
10,1,389
11,1,397
12,1,410
13,1,418
14,1,420
15,1,425
16,1,453
17,2,61
18,2,145
19,2,184
20,2,196
21,2,233
22,2,317
23,2,341
24,2,359
25,4,190
26,4,192
27,4,305
28,4,311
29,4,318
30,4,324
31,4,342
32,4,362
33,4,398
34,4,405
35,4,406
36,4,444
37,4,447
38,4,454
39,4,460
40,5,1
41,5,2
42,5,10
43,5,11
44,5,15
45,5,16
46,5,17
47,5,21
48,5,22
49,5,23
50,5,26
51,5,27
52,5,29
53,5,30
54,5,33
55,5,34
56,5,36
57,5,44
58,5,49
59,5,51
60,5,52
61,5,55
62,5,64
63,5,65
64,5,66
65,5,67
66,5,69
67,5,70
68,5,75
69,5,82
70,5,84
71,5,88
72,5,93
73,5,101
74,5,121
75,5,123
76,5,125
77,5,127
78,5,128
79,5,136
80,5,139
81,5,149
82,5,157
83,5,161
84,5,162
85,5,163
86,5,165
87,5,173
88,5,181
89,5,189
90,5,209
91,5,211
92,5,214
93,5,239
94,5,280
95,5,282
96,5,302
97,5,304
98,5,306
99,5,310
100,5,314
101,5,400
102,5,401
103,5,402
104,5,408
105,5,422
106,5,423
107,5,424
108,5,438
109,5,440
110,5,441
111,5,443
112,6,13
113,6,19
114,6,76
115,6,91
116,6,130
117,6,143
118,6,264
119,6,291
120,6,340
121,6,371
122,7,3
123,7,4
124,7,24
125,7,31
126,7,37
127,7,41
128,7,42
129,7,131
130,7,140
131,7,154
132,7,155
133,7,167
134,7,172
135,7,198
136,7,200
137,7,205
138,7,210
139,7,251
140,7,292
141,7,301
142,7,331
143,7,333
144,7,350
145,7,458
146,7,463
147,8,105
148,8,135
149,8,156
150,8,208
151,8,215
152,8,234
153,8,235
154,8,236
155,8,256
156,8,273
157,8,287
158,8,303
159,8,312
160,8,355
161,8,361
162,8,392
163,8,456
164,8,461
165,9,12
166,9,18
167,9,32
168,9,38
169,9,90
170,9,120
171,9,153
172,9,194
173,9,262
174,9,329
175,10,103
176,10,108
177,10,109
178,10,147
179,10,148
180,10,195
181,10,212
182,10,220
183,10,253
184,10,288
185,10,319
186,11,14
187,11,74
188,11,96
189,11,99
190,11,116
191,11,133
192,11,134
193,11,151
194,11,159
195,11,187
196,11,244
197,11,254
198,11,268
199,11,294
200,11,322
201,11,336
202,11,339
203,11,347
204,11,349
205,11,367
206,11,417
207,11,455
208,11,466
209,12,102
210,12,168
211,12,271
212,12,278
213,12,285
214,12,289
215,12,343
216,12,365
217,12,383
218,12,415
219,12,450
220,13,54
221,13,106
222,13,107
223,13,110
224,13,111
225,13,112
226,13,113
227,13,114
228,13,115
229,13,169
230,13,191
231,13,201
232,13,203
233,13,219
234,13,240
235,13,241
236,13,258
237,13,293
238,13,300
239,13,334
240,13,335
241,13,346
242,13,356
243,13,373
244,13,377
245,13,380
246,13,381
247,13,390
248,13,393
249,13,432
250,13,446
251,14,118
252,14,266
253,14,267
254,14,274
255,14,290
256,14,298
257,14,433
258,14,449
259,15,68
260,15,117
261,15,119
262,15,175
263,15,179
264,15,243
265,15,263
266,15,277
267,15,279
268,15,283
269,15,360
270,15,368
271,15,372
272,15,419
273,15,462
274,16,122
275,16,146
276,16,150
277,16,182
278,16,197
279,16,206
280,16,217
281,16,226
282,16,259
283,16,265
284,16,269
285,16,358
286,16,364
287,16,369
288,16,375
289,16,379
290,16,384
291,16,385
292,16,391
293,17,7
294,17,8
295,17,9
296,17,53
297,17,56
298,17,57
299,17,58
300,17,59
301,17,60
302,17,62
303,17,85
304,17,87
305,17,94
306,17,126
307,17,129
308,17,216
309,17,225
310,17,229
311,17,247
312,17,248
313,17,252
314,17,257
315,17,261
316,17,299
317,17,325
318,17,326
319,17,327
320,17,332
321,17,337
322,17,345
323,17,348
324,17,351
325,17,352
326,17,353
327,17,396
328,17,399
329,17,403
330,17,404
331,17,411
332,17,412
333,17,421
334,17,427
335,17,429
336,17,430
337,17,435
338,17,436
339,17,451
340,18,5
341,18,25
342,18,89
343,18,124
344,18,152
345,18,158
346,18,185
347,18,188
348,18,218
349,18,222
350,18,223
351,18,224
352,18,231
353,18,232
354,18,238
355,18,242
356,18,246
357,18,249
358,18,255
359,18,276
360,18,284
361,18,309
362,18,330
363,18,363
364,18,395
365,18,407
366,18,413
367,18,414
368,18,426
369,18,428
370,18,431
371,18,442
372,18,452
373,19,28
374,19,39
375,19,40
376,19,43
377,19,45
378,19,46
379,19,47
380,19,48
381,19,50
382,19,77
383,19,78
384,19,79
385,19,81
386,19,86
387,19,92
388,19,95
389,19,137
390,19,142
391,19,171
392,19,180
393,19,186
394,19,204
395,19,207
396,19,213
397,19,230
398,19,260
399,19,281
400,19,297
401,19,313
402,19,320
403,19,321
404,19,388
405,19,445
406,19,464
407,20,71
408,20,72
409,20,138
410,20,141
411,20,170
412,20,193
413,20,199
414,20,202
415,20,227
416,20,228
417,20,270
418,20,286
419,20,316
420,20,357
421,20,409
422,21,20
423,21,35
424,21,73
425,21,80
426,21,83
427,21,132
428,21,174
429,21,250
430,21,275
431,21,328
432,21,376
433,21,387
434,22,63
435,22,177
436,22,221
437,22,295
438,22,296
439,22,307
440,22,308
441,22,315
442,22,323
443,22,338
444,22,344
445,22,354
446,22,370
447,22,378
448,22,394
449,22,416
450,22,434
451,22,437
452,22,439
453,22,457
454,22,459
455,22,465
456,22,467
457,23,6
458,23,144
459,23,160
460,23,164
461,23,166
462,23,176
463,23,237
464,23,272
465,23,374
466,23,386
467,23,448
